7956	121	4 корпус (3 фаза)	Москва, поселение Внуковское, улица Бориса Пастернака, 5
7957	121	5 корпус (3 фаза)	Москва, поселение Внуковское, улица Бориса Пастернака, 7
7958	121	6 корпус (3 фаза)	Москва, поселение Внуковское, улица Бориса Пастернака, 9
7959	121	7 корпус (4 фаза)	Москва, поселение Внуковское, улица Бориса Пастернака, 3
7960	121	8 корпус (4 фаза)	Москва, поселение Внуковское, улица Самуила Маршака, 1
7961	121	1 корпус (5 фаза)	Москва, поселение Внуковское, улица Анны Ахматовой, 20
7962	121	2 корпус (5 фаза)	Москва, поселение Внуковское, улица Анны Ахматовой, 22
7963	121	3 корпус (5 фаза)	Москва, поселение Внуковское, улица Анны Ахматовой, 16
7964	121	4 корпус (5 фаза)	Москва, поселение Внуковское, улица Анны Ахматовой, 14
7965	121	5 корпус (5 фаза)	Москва, поселение Внуковское, микрорайон Переделкино Ближнее, улица Самуила Маршака
7966	121	7 корпус (5 фаза)	Москва, поселение Внуковское, улица Самуила Маршака, 23к1
7967	121	8 корпус (5 фаза)	Москва, поселение Внуковское, улица Самуила Маршака, 21
7968	121	9 корпус (5 фаза)	Москва, поселение Внуковское, улица Корнея Чуковского, 3
7969	121	10 корпус (5 фаза)	Москва, поселение Внуковское, улица Корнея Чуковского, 1
7970	121	11 корпус (5 фаза)	Москва, поселение Внуковское, улица Самуила Маршака, 17
7971	121	12 корпус (5 фаза)	Москва, поселение Внуковское, улица Самуила Маршака, 19
7972	121	13 корпус (5 фаза)	Москва, поселение Внуковское, улица Самуила Маршака, 23
7973	121	1 корпус (6 фаза)	Москва, поселение Внуковское, улица Самуила Маршака, 20
7974	121	2 корпус (6 фаза)	Москва, поселение Внуковское, улица Самуила Маршака, 18
7975	121	3 корпус (6 фаза)	Москва, поселение Внуковское, улица Корнея Чуковского, 5
7976	121	4 корпус (6 фаза)	Москва, поселение Внуковское, улица Бориса Пастернака, 19
7977	121	5 корпус (6 фаза)	Москва, поселение Внуковское, улица Бориса Пастернака, 21
7978	121	6 корпус (6 фаза)	Москва, поселение Внуковское, улица Самуила Маршака, 22
7979	121	7 корпус (6 фаза)	Москва, поселение Внуковское, улица Бориса Пастернака, 23
7980	121	8 корпус (6 фаза)	Москва, поселение Внуковское, улица Бориса Пастернака, 25
7981	121	9 корпус (6 фаза)	Москва, поселение Внуковское, улица Самуила Маршака, 24
